Target_Ticker,Target_Name,Candidate_Ticker,Candidate_Name,Distance
TSLA,"Tesla, Inc.  - Common Stock",STLA,Stellantis N.V. Common Shares,1
TSLA,"Tesla, Inc.  - Common Stock",TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",1
TSLL,Direxion Daily TSLA Bull 2X Shares,TSLA,"Tesla, Inc.  - Common Stock",1
TSLL,Direxion Daily TSLA Bull 2X Shares,TBLL,Invesco Short Term Treasury ETF,1
TSLL,Direxion Daily TSLA Bull 2X Shares,TILL,Teucrium Agricultural Strategy No K-1 ETF,1
TSLL,Direxion Daily TSLA Bull 2X Shares,TOLL,Tema Monopolies and Oligopolies ETF,1
TSLL,Direxion Daily TSLA Bull 2X Shares,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",1
ONDS,Ondas Holdings Inc. - Common Stock,ODDS,Pacer BlueStar Digital Entertainment ETF,1
ONDS,Ondas Holdings Inc. - Common Stock,BNDS,Infrastructure Capital Bond Income ETF,1
ONDS,Ondas Holdings Inc. - Common Stock,INDS,Pacer Industrial Real Estate ETF,1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IEP,Icahn Enterprises L.P. - Depositary Units representing Limited Partner Interests,1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IVF,"INVO Fertility, Inc. - Common Stock",1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",DIVP,Cullen Enhanced Equity Income ETF,1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IBP,"Installed Building Products, Inc. Common Stock",1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IP,International Paper Company Common Stock,1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",ITP,"IT Tech Packaging, Inc. Common Stock",1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,1
IVP,"Inspire Veterinary Partners, Inc. - Class A Common Stock",IVZ,Invesco Ltd Common Stock,1
