Ticker
PCLA
NVDA
SIDU
DVLT
BBAI
PLUG
BYND
TSLA
TSLL
HXHX
ONDS
IVP
XTKG
INTC
VMAR
WBD
WOK
AAPL
FOLD
TQQQ
ASST
AVGO
AAL
OPEN
TSLS
IBIT
RIVN
QQQ
TRIB
CANF
NFLX
CGC
RKLB
PLTR
AMZN
RGTI
DNN
NVD
HIHO
BITO
MARA
CMCSA
ABEV
BITF
CRH
BAC
MU
TLT
ETHA
SOBR
SOFI
DTCK
CRWV
MSTX
GRAB
DJT
AMC
CSCO
AZI
GOOGL
RXRX
MIMI
ACHR
AMD
PLTD
BTBT
ATPC
IREN
MSFT
RZLV
ECDA
CDE
CIFR
WMT
LUNR
WULF
ASTS
APLD
TSDD
BBD
OPTX
CRWG
SMCI
CLSK
AIRE
SQQQ
C
BMY
TTD
AG
CMG
RENX
QUBT
TSLQ
BULL
TE
SOUN
RR
META
AUR
