IPO_Ticker,IPO_Name,Typo_Ticker,Typo_Name,Distance,Keyboard_Proximate,IPO_Date,Date,Data_Source,Typo_Open,Typo_High,Typo_Close,Typo_Volume,Avg_Volume_5d,Volume_Spike_Ratio,Gap_Up_Pct,Intraday_High_Pct,Reversion_From_High_Pct,Day_Return
EDHL,EVERBRIGHT DIGITAL HOLDING LTD.,RDHL,Redhill Biopharma Ltd. - American Depositary Shares,1,True,4/17/2025,2025-04-17,yfinance,1.9299999475479128,2.490000009536743,2.259999990463257,1321900,1302980.0,1.0145205605611751,-0.0676328455120119,0.2901554804187001,-0.0923694852179045,0.091787470216393
AHL,ASPEN INSURANCE HOLDINGS LTD,ANL,Adlai Nortye Ltd. - American Depositary Shares,1,True,5/08/2025,2025-05-08,yfinance,1.75,1.8650000095367432,1.840000033378601,7300,7280.0,1.0027472527472527,-0.068653513590811,0.0657142911638532,-0.0134048128848814,-0.0207556765257425
PARK,"PARK DENTAL PARTNERS, INC.",LARK,Landmark Bancorp Inc. - Common Stock,1,True,12/03/2025,2025-12-03,yfinance,27.3799991607666,28.770000457763672,27.90999984741211,7500,7831.0,0.9577320904099094,-0.0043636668812144,0.0507670321257289,-0.0298922696095921,0.0149090853604403
FJET,"STARFIGHTERS SPACE, INC.",RJET,Republic Airways Holdings Inc. - Common Stock,1,True,12/18/2025,2025-12-18,yfinance,19.299999237060547,20.809999465942383,20.809999465942383,38300,40160.0,0.9536852589641436,-0.0320963530519442,0.078238356920879,0.0,0.0436308379429982
DXST,DECENT HOLDING INC.,RXST,"RxSight, Inc. - Common Stock",1,True,1/22/2025,2025-01-22,yfinance,30.670000076293945,32.36000061035156,31.90999984741211,606900,658640.0,0.9214441880238068,-0.0096867692512729,0.0551027235035413,-0.0139060801746556,0.0303519714206865
CARL,"CARLSMED, INC.",CADL,"Candel Therapeutics, Inc. - Common Stock",1,True,7/23/2025,2025-07-23,yfinance,6.699999809265137,7.130000114440918,6.960000038146973,977100,1063740.0,0.9185515257487732,0.0044977110386871,0.064179151853281,-0.0238429275687712,0.0434782546530584
DGNX,DIGINEX LTD,FGNX,FG Nexus Inc. - Common Stock,1,True,1/22/2025,2025-01-22,yfinance,21.799999237060547,22.989999771118164,21.68000030517578,59700,70580.0,0.8458486823462738,-0.0113378688730207,0.0545871823717583,-0.0569812735530387,-0.0167799974914688
CSAI,"CLOUDASTRUCTURE, INC.",CXAI,CXApp Inc. - Class A Common Stock,1,True,1/30/2025,2025-01-30,yfinance,1.5199999809265137,1.600000023841858,1.5299999713897705,874600,1069880.0,0.8174748569933077,-0.0065359416014716,0.0526316078415871,-0.0437500321306283,0.0
SDM,SMART DIGITAL GROUP LTD,SSM,Sono Group N.V. - Ordinary Shares,1,True,5/02/2025,2025-05-02,yfinance,8.0,10.0,9.0,3100,3820.0,0.8115183246073299,-0.1111111111111111,0.25,-0.1,0.0
GRDN,"GUARDIAN PHARMACY SERVICES, INC.",VRDN,"Viridian Therapeutics, Inc.  - Common Stock",1,True,9/26/2024,2024-09-26,yfinance,21.81999969482422,23.36000061035156,23.059999465942383,1327400,1684480.0,0.7880176671732523,0.0196261721392867,0.0705774948242844,-0.0128425144079936,0.0775700877104088
LSE,"LEISHEN ENERGY HOLDING CO., LTD.",LEE,"Lee Enterprises, Incorporated - Common Stock",1,True,12/19/2024,2024-12-19,yfinance,14.859999656677246,15.989999771118164,14.989999771118164,35400,46940.0,0.7541542394546229,-0.0080106735130892,0.0760430780988046,-0.0625390878245191,0.0006675720418842
COSO,"COASTALSOUTH BANCSHARES, INC.",CISO,"CISO Global, Inc. - Common Stock",1,True,7/02/2025,2025-07-02,yfinance,1.1699999570846558,1.25,1.2000000476837158,688600,926000.0,0.7436285097192225,0.0,0.0683761075638704,-0.0399999618530273,0.0256411040166298
NVA,NOVA MINERALS LTD,JVA,"Coffee Holding Co., Inc. - Common Stock",1,True,7/24/2024,2024-07-24,yfinance,2.619999885559082,2.799999952316284,2.430000066757202,106600,153780.0,0.6931980751723241,-0.0609319278201841,0.0687023185570834,-0.1321428185214795,-0.1290322222286788
AMIX,"AUTONOMIX MEDICAL, INC.",ANIX,"Anixa Biosciences, Inc. - Common Stock",1,True,1/29/2024,2024-01-29,yfinance,4.369999885559082,4.670000076293945,4.440000057220459,94200,137540.0,0.6848916678784354,-0.0022831572193035,0.0686499310277401,-0.0492505386115564,0.0136986167150362
GRO,BRAZIL POTASH CORP.,GRI,"GRI Bio, Inc. - Common Stock",1,True,11/27/2024,2024-11-27,yfinance,12.17199993133545,13.09000015258789,12.920000076293944,10306,15156.4,0.6799767754875828,-0.023192400361663,0.0754190130160248,-0.0129870186640399,0.0368348942692754
MAGH,MAGNITUDE INTERNATIONAL LTD,MAGN,Magnera Corporation Common Stock,1,True,8/12/2025,2025-08-12,yfinance,12.890000343322754,13.5600004196167,13.479999542236328,625400,989760.0,0.6318703524086647,0.0031128374058812,0.0519782822690937,-0.0058997695357469,0.0490271705886552
AS,"AMER SPORTS, INC.",AZ,A2Z Cust2Mate Solutions Corp. - Common Shares,1,True,2/01/2024,2024-02-01,yfinance,2.8499999046325684,3.0,2.8499999046325684,6240,18288.0,0.3412073490813648,-0.0338983530287281,0.0526316141707977,-0.0500000317891438,-0.0338983530287281
FTRK,FAST TRACK GROUP,FTEK,"Fuel Tech, Inc. - Common Stock",1,True,5/23/2025,2025-05-23,yfinance,1.6399999856948853,1.7799999713897705,1.600000023841858,375700,1307340.0,0.287377422858629,-0.0238095018463603,0.0853658456805204,-0.1011235676635286,-0.0476190036927207
STAK,STAK INC.,STAI,ScanTech AI Systems Inc. - Common stock,1,True,2/26/2025,2025-02-26,yfinance,48.599998474121094,54.959999084472656,50.20000076293945,142025,1004050.0,0.1414521189183805,-0.0544747659267688,0.1308642141982408,-0.0866084134065788,-0.0233463176520583
