Ticker
PCLA
NVDA
SIDU
DVLT
BBAI
PLUG
BYND
TSLA
TSLL
IVP
HXHX
ONDS
XTKG
INTC
VMAR
WBD
SOXL
WOK
AAPL
FOLD
TQQQ
ASST
AVGO
AAL
OPEN
TSLS
IBIT
RIVN
QQQ
TRIB
NFLX
RKLB
CGC
PLTR
AMZN
RGTI
DNN
NVD
HIHO
BITO
MARA
CMCSA
ABEV
CWAN
CRH
BITF
BAC
CCL
MU
TLT
DTCK
ETHA
SOBR
SOFI
CRWV
MSTX
GRAB
DJT
AMC
CSCO
BTG
AZI
GOOGL
RXRX
ACHR
MIMI
AMD
PLTD
ATPC
BTBT
IREN
MSFT
RZLV
ECDA
CDE
CIFR
WMT
LUNR
WULF
ASTS
APLD
BBD
TSDD
CRWG
OPTX
SMCI
CLSK
BMY
AIRE
SQQQ
C
AG
TTD
CMG
RENX
QUBT
TSLQ
BULL
SOUN
RR
