Target,Candidate,Overall_Corr,Best_Time,Best_Time_Corr,Correlation_Lift,General_Corr_At_Best_Time,Hedged_Return_Mean,Unhedged_Return_Mean,Hedged_Sharpe,Unhedged_Sharpe,Alpha_BasisPoints,Distance,Target_Name,Candidate_Name,Keyboard_Proximate,Buying_Pressure_Corr_All
NVDA,IVDA,0.11826218785824594,17:00:00,0.3794905473147576,0.2612283594565117,0.28401639780666993,6.663376515811854e-05,0.0001752877497010445,0.015301644305611291,0.1399011039683849,-1.0865398454292596,1,NVIDIA Corporation - Common Stock,"Iveda Solutions, Inc. - Common Stock",False,
NVDA,VNDA,0.05181974287160137,17:30:00,0.17229714781339292,0.12047740494179154,0.1286726375469863,5.169356418555983e-05,3.59984334409262e-05,0.0921880045539879,0.0703156872331113,0.1569513074463363,1,NVIDIA Corporation - Common Stock,Vanda Pharmaceuticals Inc. - Common Stock,False,
SIDU,BIDU,0.04632751058552512,20:00:00,0.31083241832699693,0.26450490774147184,0.11730651471943301,0.0006289555563539016,0.0006327647433359199,0.06420336360488957,0.06447970404039545,-0.03809186982018319,1,"Sidus Space, Inc. - Class A Common Stock","Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",False,
SIDU,FIDU,0.368054953684738,14:30:00,0.5865258060658691,0.21847085238113112,0.5240999467662413,0.026479314461596064,0.02658675911637602,0.16536917733309195,0.16549788487565578,-1.0744465477995764,1,"Sidus Space, Inc. - Class A Common Stock",Fidelity MSCI Industrials Index ETF,False,
SIDU,IDU,-0.0006492723251782299,17:00:00,0.47840102162257436,0.4790502939477526,0.5396877629864588,0.0031578980838027374,0.0031604666575279017,0.17027569553071398,0.16960738907348255,-0.025685737251642665,1,"Sidus Space, Inc. - Class A Common Stock",iShares U.S. Utilities ETF,False,
SIDU,MIDU,0.42468715799571444,14:30:00,0.6513855217003997,0.2266983637046852,0.7096206672958514,0.05268576238024074,0.05234616125792276,0.23828614511856147,0.2338769870738829,3.3960112231797708,1,"Sidus Space, Inc. - Class A Common Stock",Direxion Mid Cap Bull 3X Shares,False,
SIDU,SID,0.1433816975709207,14:30:00,0.5891670683481551,0.44578537077723446,0.35523723856947415,0.008257608937048121,0.008396322612206412,0.09402183096492518,0.09493407717851682,-1.3871367515829076,1,"Sidus Space, Inc. - Class A Common Stock",Companhia Siderurgica Nacional S.A. Common Stock,False,
DVLT,CVLT,0.08923954319876057,15:30:00,0.29398035853871995,0.2047408153399594,0.050933241180788257,0.001006834633365583,0.0010162768420635773,0.11126380630773092,0.11216205399317483,-0.09442208697994348,1,Datavault AI Inc. - Common Stock,"Commvault Systems, Inc. - Common Stock",True,
DVLT,VLT,0.05427295383191164,N/A,0.0,,,,,,,,1,Datavault AI Inc. - Common Stock,Invesco High Income Trust II,False,0.13898850561821277
BBAI,BBGI,-0.007165371372011822,15:00:00,0.1867158519049249,0.19388122327693671,0.30419002535861794,0.0002493487054615126,0.00015124244328563742,0.03656617622441151,0.02161704932418915,0.9810626217587518,1,"BigBear.ai, Inc. Common Stock","Beasley Broadcast Group, Inc. - Class A Common Stock",False,
BBAI,BBSI,0.032127642436185516,15:30:00,0.5667051964735619,0.5345775540373764,-0.3862414772118081,0.00014831435124144877,0.00038633910059752513,0.03254829674758323,0.10645267814811236,-2.3802474935607636,1,"BigBear.ai, Inc. Common Stock","Barrett Business Services, Inc. - Common Stock",True,
BBAI,BNAI,0.16310912608939385,14:30:00,0.6318635775280131,0.46875445143861927,0.32966383013856876,-0.0005518736939756501,-0.0006593068196294291,-0.05146201727909967,-0.09096134773434776,1.0743312565377903,1,"BigBear.ai, Inc. Common Stock",Brand Engagement Network Inc. - Common Stock,True,
BBAI,BTAI,0.04144841836137286,14:30:00,0.3306247744797561,0.2891763561183832,0.13499368404075932,-0.00024053909256724812,-0.00046155601697319716,-0.03935602538344089,-0.07614715009562215,2.2101692440594904,1,"BigBear.ai, Inc. Common Stock","BioXcel Therapeutics, Inc. - Common Stock",False,
BBAI,BZAI,0.2317964455246904,20:00:00,0.27553812180126697,0.043741676276576574,0.06334131012400641,2.607716716612538e-05,4.592648272676776e-05,0.015734057658119346,0.02943289420602298,-0.1984931556064238,1,"BigBear.ai, Inc. Common Stock","Blaize Holdings, Inc. - Common Stock",False,
BBAI,MBAI,-0.06367814648167769,N/A,0.0,,,,,,,,1,"BigBear.ai, Inc. Common Stock",Check-Cap Ltd. - Ordinary Share,False,-0.18750597657183618
BBAI,ZBAI,0.5143774688641427,N/A,0.0,,,,,,,,1,"BigBear.ai, Inc. Common Stock",ATIF Holdings Limited - Ordinary Shares,False,0.7142896799519417
BBAI,BAI,0.24558304039022266,14:30:00,0.5421522462402834,0.2965692058500607,0.30717072445814664,-0.00039432791050711754,-0.00031175277993913616,-0.08667830689575969,-0.06563352923686172,-0.8257513056798138,1,"BigBear.ai, Inc. Common Stock",iShares A.I. Innovation and Tech Active ETF,False,
BBAI,BBAR,0.05729270556209633,18:30:00,0.3143126467860927,0.2570199412239964,0.05133450889524662,-0.00021122933930465873,-0.00029529010115423275,-0.1319419717340517,-0.18998158518456645,0.8406076184957402,1,"BigBear.ai, Inc. Common Stock",Banco BBVA Argentina S.A. ADS,False,
BBAI,BBWI,0.011119679442240639,14:30:00,0.2916477576083194,0.2805280781660788,-0.014775226966154485,-0.00026659988698539845,-0.00029389260817628296,-0.05420416592024834,-0.060490885161441736,0.2729272119088451,1,"BigBear.ai, Inc. Common Stock","Bath & Body Works, Inc.",True,
