Ticker
BBAI
BYND
TSLL
ONDS
MWG
WOK
ASST
AAL
BMNR
TRIB
NFLX
CGC
PLTR
CMCSA
BAC
ORCL
GRAB
NIO
NU
GOOGL
RXRX
AMD
RIG
PATH
WMT
IONQ
C
FXI
VEA
META
AUR
MRK
XOM
HBAN
VG
OCG
PYPL
AVTR
MDLN
LRCX
GFS
VICI
TLRY
LUMN
IAUX
ITUB
KDP
RIOT
CLF
YYGH
NVTS
AMCI
EQX
JPM
PFSA
KMI
SILJ
ASBP
FISV
PGEN
CNH
KEY
MSTU
DOC
OMER
GAP
SCHH
HTZ
PTEN
PBM
ELOG
ACI
FAST
BKLN
SCHG
GIS
DVN
XEL
BAX
PM
ETH
OSCR
COIN
MSTZ
SCHF
PAAS
CRCG
AGG
APH
PACB
CCC
INVZ
VXX
BABA
WMB
ORLY
AES
NAK
ARM
JPST
