Ticker
PCLA
SOXS
NVDA
SIDU
DVLT
PLUG
BYND
TSLA
TSLL
HXHX
ONDS
IVP
XTKG
INTC
VMAR
WOK
AAPL
FOLD
TQQQ
ASST
AVGO
AAL
OPEN
TSLS
IBIT
RIVN
QQQ
TRIB
NFLX
CGC
RKLB
PLTR
AMZN
RGTI
NVD
HIHO
BITO
MARA
CMCSA
ABEV
BITF
BAC
MU
TLT
ETHA
SOBR
SOFI
DTCK
CRWV
MSTX
GRAB
DJT
AMC
ZSL
CSCO
AZI
GOOGL
RXRX
MIMI
ACHR
AMD
PLTD
BTBT
ATPC
IREN
MSFT
RZLV
ECDA
CIFR
VALE
LUNR
WULF
SMR
ASTS
APLD
TSDD
BBD
OPTX
CRWG
SMCI
CLSK
FJET
AIRE
GDX
SQQQ
TTD
AG
RENX
QUBT
TSLQ
BULL
SOUN
RR
META
AUR
GOOG
RVPH
AMCR
XOM
IBRX
